task_id,post_id,annotator1_task_a,annotator1_task_b,annotator2_task_a,annotator2_task_b,task_a_agreement,task_b_agreement
136,2072549726155044,Routine / institutional / customer service / other,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
278,5017715378250821,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Operational update / resolution,False,False
282,5285097564847180,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
291,747027417452355,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
293,688777051609959,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
306,381611608530381,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
308,1033537430056284,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
309,1765027263650346,Flood / stormwater / wastewater / sewer,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Alert / warning,True,False
313,2682377658505578,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
317,866832130007101,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
319,587343996754032,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Institutional promotion / community news,False,False
323,1287137021362989,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,True,False
329,868329303190717,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Instruction / advice to public,True,False
330,531023052540631,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
332,665743023479669,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
333,760609563962692,Routine / institutional / customer service / other,Other / unclear,Routine / institutional / customer service / other,Education / awareness,True,False
334,654006814676016,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
336,10156231946279268,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,False
337,2639522149404748,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
338,774020268095469,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Water quality / safety / public health,Instruction / advice to public,False,False
339,815860270569069,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
340,1974735632679507,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,True,False
341,4480156468674631,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
343,1166500583373586,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
