post_id,row_idx,utility_id,year,language,source_url,task_a_id,task_a_gold,task_b_id,task_b_gold,task_b1_gold
482407545146552,0,U04,2013,Norwegian,https://www.facebook.com/photo/?fbid=482407545146552&set=a.485581470263619,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
1338919832798326,1,U03,2016,Portuguese,https://www.facebook.com/photo/?fbid=1338919832798326&set=a.636558505181850,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
1293598662785386,2,U02,2025,German,https://www.facebook.com/reel/1399660531518746/,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
1282777398465618,3,U01,2017,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/1282777398465618,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
5304355719588031,4,U03,2022,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02SgrqSjt6smvoyPjJ3TPsk6JfBY52qS7qPTKexqLBtNfU5c7EEtVQMjcduaoDFgnml,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
4592128484144095,5,U03,2021,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid0nCPQ9obB9Ssvw5QApx2MUgJBAgDX4CqSt99ZpFSmnWm1NcWNMVjzmsuVLQdqQRPQl,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
10154918075966714,6,U10,2017,Swedish,https://www.facebook.com/stockholmvattenochavfall/posts/pfbid0Fuk1jtgJKdsBKhmXKtrxiV8M4UbgR8i27h1fmBTSvxMtsneWLQhPCb9632YvSfeWl,A5,Environmental sustainability / waste / recycling / biodiversity,B2,Instruction / advice to public,Risk / incident communication
678659650964865,7,U01,2023,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid0Z5JTPQqoLVDY7VxVn2TLWeocnrEHaib3DTVcKxn1JXwY16mEDh3FZMLk3pAGQfDRl,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
1278805085592660,8,U05,2018,German,https://www.facebook.com/wasserbetriebe/posts/pfbid0WXKf82pHEg36KdZcUaRrou2RSbYhKmoBdx1XfxHJ3URUPPpN9C38dhnPLtqmsEWgl,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
3944459945577622,9,U03,2021,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid0KhFjBFhJLriCAA6vinvMDRbByXsN678caGH9sydfRtDTcW8nQJhBUcRdy6U8u7tZl,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
210811714384314,10,U12,2021,Finnish,https://www.facebook.com/turunvesihuolto/posts/pfbid031rADTAAAEKxsyVCyyyY6yCc2MJQsPRCB5kHcvp7eJMsFmXYW9xXMhXmVg21vU4e8l,A7,Routine / institutional / customer service / other,B5,Education / awareness,Education / awareness
861414077215573,11,U03,2014,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid0a6pb1sAyJHefQUjW2fcJP6bpda2GErvKXMAZBZqQiPrHLJ1MAoXgYLSCK11tyoawl,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
1597138153696206,12,U01,2018,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02SurdS6LPC3QmGkdFs8BmEkFvJD45KyiEdSbYfXvcca97aCgC7dnhikURu6UQamaXl,A4,Flood / stormwater / wastewater / sewer,B2,Instruction / advice to public,Risk / incident communication
797809066939730,13,U04,2015,Norwegian,https://www.facebook.com/Oslovann/posts/797809066939730,A7,Routine / institutional / customer service / other,B5,Education / awareness,Education / awareness
4372101296146816,14,U03,2021,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02py2vnhuVLsQodjSp3NecuKXsYwcKXyvTGykmkXgiWCfsCeZxdrk94phBXnW2qHerl,A5,Environmental sustainability / waste / recycling / biodiversity,B2,Instruction / advice to public,Risk / incident communication
703555673054463,15,U01,2014,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/703555673054463,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
2477616312292322,16,U04,2019,Norwegian,https://www.facebook.com/Oslovann/posts/pfbid02MLA5N9fHfYCqn4jV2uAHBiUjhaHZJVYGZMb5j6xBwoqUxCXgoyNbTL9k4HKKS9wGl,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
865006189142314,17,U11,2024,Finnish,https://www.facebook.com/tampereenvesi/posts/pfbid0XhrhMQaCeoGG9P5jQyaJCoHq8uVGZMDS15Py7tBSv5WjNCZnTR3ne9Y6bZzVs8tl,A4,Flood / stormwater / wastewater / sewer,B2,Instruction / advice to public,Risk / incident communication
792192959613077,18,U05,2024,German,https://www.facebook.com/wasserbetriebe/posts/pfbid0pbdVECsppKtPRRr4ZJxQao7SiGWdCjB7ER3qFchzorEmmDWjrZJRnK5eoS6uhkbul,A4,Flood / stormwater / wastewater / sewer,B5,Education / awareness,Education / awareness
2487479011275730,19,U03,2019,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02okvQTq1HAuf8HVJFmPLHcbrK8SRRsBeiJg5UYCYQTcBEQuZeCiU2gNKWhHLeH7Xul,A4,Flood / stormwater / wastewater / sewer,B6,Institutional promotion / community news,Institutional / community communication
4674139019276374,20,U03,2021,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid017ZyfKyHCAvo5v7qPFKLXUYvecCFi9p69yBaY1JV1aTkrNvG3szpZLecXrqswxpDl,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
826414180715563,21,U03,2014,Portuguese,https://www.facebook.com/photo/?fbid=826414180715563&set=a.636558505181850,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
264149229050562,22,U12,2021,Finnish,https://www.facebook.com/turunvesihuolto/posts/pfbid0388p3CdaYDecPq7F7ccEs79cJwXxzYERe5e2faHsLcb6dDN8zNBqX8TrieKvdUcAwl,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
