post_id,utility_id,year,language,annotator1_task_a,annotator1_task_b,annotator2_task_a,annotator2_task_b,task_a_agreement,task_b_agreement,both_tasks_agreement
482407545146552,U04,2013,Norwegian,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1338919832798326,U03,2016,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1293598662785386,U02,2025,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1282777398465618,U01,2017,Finnish,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
5304355719588031,U03,2022,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
4592128484144095,U03,2021,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
10154918075966714,U10,2017,Swedish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
678659650964865,U01,2023,Finnish,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
1278805085592660,U05,2018,German,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
3944459945577622,U03,2021,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
210811714384314,U12,2021,Finnish,Routine / institutional / customer service / other,Education / awareness,Routine / institutional / customer service / other,Education / awareness,True,True,True
861414077215573,U03,2014,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1597138153696206,U01,2018,Finnish,Flood / stormwater / wastewater / sewer,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,True,True
797809066939730,U04,2015,Norwegian,Routine / institutional / customer service / other,Education / awareness,Routine / institutional / customer service / other,Education / awareness,True,True,True
4372101296146816,U03,2021,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
