plot_system,text,task_plot,estimate,ci_low,ci_high
GPT-4.1-mini-0s,native,Task A,0.616371782988839,0.5875102401961766,0.6440241041213732
GPT-4.1-mini-0s,translated,Task A,0.6384558831760566,0.6094293344004166,0.6662362835046195
GPT-4.1-mini-5s,native,Task A,0.596465104270533,0.5657413114626634,0.6257510076293953
GPT-4.1-mini-5s,translated,Task A,0.616993144880906,0.5864597572231065,0.6460628866775765
GPT-4o-mini-0s,native,Task A,0.6005394842722885,0.5733311150250664,0.626619744125189
GPT-4o-mini-0s,translated,Task A,0.6198710184921062,0.5931592006812939,0.6455791765182469
GPT-4o-mini-5s,native,Task A,0.6054086775788244,0.5761361548084524,0.6328704128115126
GPT-4o-mini-5s,translated,Task A,0.6236860668782225,0.5946086496116885,0.6513750007238017
Gemma 4-0s,native,Task A,0.6325248704384884,0.6060453313578043,0.6581072865425798
Gemma 4-0s,translated,Task A,0.6579978050153413,0.6335902221510651,0.6818855295424037
Gemma 4-5s,native,Task A,0.5656122092211808,0.5362724822772987,0.5934246740211834
Gemma 4-5s,translated,Task A,0.6238806222706328,0.5966631776189741,0.6500374219258989
Qwen 3.5-0s,native,Task A,0.5582025662072589,0.5284957706401489,0.5866283060219774
Qwen 3.5-0s,translated,Task A,0.567139666216992,0.5383045079841354,0.59492131784606
Qwen 3.5-5s,native,Task A,0.5728054956771116,0.5429747746552044,0.6010900211895575
Qwen 3.5-5s,translated,Task A,0.583823326130755,0.5544678421556818,0.6120617835410025
TF-IDF + LR,native,Task A,0.5211245892548514,0.4966082535684109,0.5460417434573174
TF-IDF + LR,translated,Task A,0.6707296725372732,0.6456794381141663,0.6952047273516655
mEmb + LR,native,Task A,0.6492462488324461,0.6253916755318641,0.6722875729203224
mEmb + LR,translated,Task A,0.6567203035987922,0.6332595348358154,0.6799675017595291
GPT-4.1-mini-0s,native,Task B,0.3277297190111504,0.2928286913675407,0.3633541061900229
GPT-4.1-mini-0s,translated,Task B,0.3593772428878546,0.3200383979976229,0.3987319145997939
GPT-4.1-mini-5s,native,Task B,0.3152437117607481,0.280912449978821,0.350678067033422
GPT-4.1-mini-5s,translated,Task B,0.3246376613739609,0.2885679885792958,0.3617731182863944
GPT-4o-mini-0s,native,Task B,0.3838837227948538,0.3378297897695086,0.4282454598111556
GPT-4o-mini-0s,translated,Task B,0.3919325016212218,0.3461466819687121,0.4368578091772429
GPT-4o-mini-5s,native,Task B,0.3722230810390902,0.3263473099966212,0.4183653816151378
GPT-4o-mini-5s,translated,Task B,0.3807609496197394,0.3311354431966904,0.4290315998988357
Gemma 4-0s,native,Task B,0.3457778143074895,0.3139695743908805,0.3800436758216644
Gemma 4-0s,translated,Task B,0.3524100632856954,0.3186405955948118,0.3878526176270909
Gemma 4-5s,native,Task B,0.2916582799171913,0.2519789649097827,0.3321659590985091
Gemma 4-5s,translated,Task B,0.3307327072615766,0.2927496952202146,0.369274145570398
Qwen 3.5-0s,native,Task B,0.2773513912040135,0.2415962986329853,0.3147063965806125
Qwen 3.5-0s,translated,Task B,0.2774336218175001,0.2439741400239361,0.3130459401220263
Qwen 3.5-5s,native,Task B,0.2418903363731296,0.2085454941520305,0.2770578815725473
Qwen 3.5-5s,translated,Task B,0.2693590698527757,0.2347030497833035,0.3066752447149981
TF-IDF + LR,native,Task B,0.3942554254961753,0.3705119907855987,0.4206325829029083
TF-IDF + LR,translated,Task B,0.4745431655995178,0.429676204174757,0.5234024450182915
mEmb + LR,native,Task B,0.4952518574804352,0.4619930818676948,0.5293676272034645
mEmb + LR,translated,Task B,0.5038088513041642,0.4683604024350643,0.5401148512959479
