experiment,computed_A,table3_A,computed_B,table3_B,computed_B1,table3_B1,computed_invalid_percent,table3_invalid_percent
gemma4_zero_native,0.6325248704384884,0.633,0.34577781430748955,0.346,0.5516818571517146,0.552,0.0,0.0
gemma4_zero_translated,0.6579978050153413,0.658,0.3524100632856954,0.352,0.56326557326538,0.563,0.0,0.0
gemma4_five_native,0.5656122092211808,0.566,0.29165827991719134,0.292,0.49736822041792816,0.497,19.8,19.8
gemma4_five_translated,0.6238806222706328,0.624,0.33073270726157666,0.331,0.5528738875173463,0.553,12.266666666666666,12.27
gpt41mini_zero_native,0.616371782988839,0.616,0.32772971901115044,0.328,0.49057610852171063,0.491,0.06666666666666667,0.07
gpt41mini_zero_translated,0.6384558831760566,0.638,0.3593772428878546,0.359,0.49377999911726067,0.494,0.0,0.0
gpt41mini_five_native,0.596465104270533,0.596,0.3152437117607481,0.315,0.46283234322746813,0.463,0.0,0.0
gpt41mini_five_translated,0.616993144880906,0.617,0.3246376613739609,0.325,0.4656021090758048,0.466,0.0,0.0
gpt4o_mini_zero_native,0.6005394842722885,0.601,0.38388372279485383,0.384,0.6226449580453778,0.623,0.0,0.0
gpt4o_mini_zero_translated,0.6198710184921062,0.62,0.3919325016212218,0.392,0.6455959825158696,0.646,0.0,0.0
gpt4o_mini_five_native,0.6054086775788244,0.605,0.3722230810390902,0.372,0.6497774054605304,0.65,0.0,0.0
gpt4o_mini_five_translated,0.6236860668782225,0.624,0.3807609496197394,0.381,0.6600514802235253,0.66,0.0,0.0
qwen35_zero_native,0.5582025662072589,0.558,0.27735139120401353,0.277,0.46145376773967656,0.461,0.5333333333333333,0.53
qwen35_zero_translated,0.567139666216992,0.567,0.27743362181750014,0.277,0.4715925006835273,0.472,0.13333333333333333,0.13
qwen35_five_native,0.5728054956771116,0.573,0.24189033637312968,0.242,0.43024080959203354,0.43,1.2,1.2
qwen35_five_translated,0.583823326130755,0.584,0.26935906985277575,0.269,0.44087635272629866,0.441,0.13333333333333333,0.13
