language,n,model,shot,native_macro_f1,translated_macro_f1,delta_translated_minus_native
Portuguese,420,GPT-4.1-mini,five,0.49709245087871323,0.5192957657935638,0.022203314914850614
Portuguese,420,GPT-4.1-mini,zero,0.5132558775021981,0.5249946300436824,0.011738752541484265
Portuguese,420,GPT-4o-mini,five,0.48783263719095854,0.5098845195928671,0.02205188240190853
Portuguese,420,GPT-4o-mini,zero,0.49373867684736067,0.48806036653349505,-0.00567831031386562
Portuguese,420,Gemma 4,five,0.4715030528771202,0.5113671181613505,0.03986406528423031
Portuguese,420,Gemma 4,zero,0.5087437514775377,0.5175859382077649,0.008842186730227186
Portuguese,420,Qwen 3.5,five,0.46924171382653096,0.4817114294435723,0.012469715617041355
Portuguese,420,Qwen 3.5,zero,0.4685671183724299,0.4401539969720253,-0.02841312140040464
Finnish,363,GPT-4.1-mini,five,0.5794996861767648,0.5591071585426775,-0.020392527634087387
Finnish,363,GPT-4.1-mini,zero,0.5944092562154467,0.5972846169071434,0.0028753606916966934
Finnish,363,GPT-4o-mini,five,0.5504190175756551,0.5984598039473035,0.048040786371648325
Finnish,363,GPT-4o-mini,zero,0.5990582549044982,0.617550152488235,0.018491897583736816
Finnish,363,Gemma 4,five,0.4487593259263443,0.5343342454657874,0.08557491953944313
Finnish,363,Gemma 4,zero,0.5926640926640926,0.6001999529955084,0.0075358603314158445
Finnish,363,Qwen 3.5,five,0.5387687199489933,0.5587208438346731,0.019952123885679796
Finnish,363,Qwen 3.5,zero,0.5236044445949003,0.5460587335360944,0.022454288941194056
Italian,201,GPT-4.1-mini,five,0.5703064711274651,0.7658685820696993,0.1955621109422342
Italian,201,GPT-4.1-mini,zero,0.6686419260441607,0.7412348824359997,0.07259295639183894
Italian,201,GPT-4o-mini,five,0.6864145658263305,0.6192667904579261,-0.06714777536840444
Italian,201,GPT-4o-mini,zero,0.641156462585034,0.6506802721088435,0.00952380952380949
Italian,201,Gemma 4,five,0.7452721696907743,0.7744630436444241,0.029190873953649832
Italian,201,Gemma 4,zero,0.6241569727603247,0.7752656118627227,0.15110863910239802
Italian,201,Qwen 3.5,five,0.6984038308060655,0.7611066773077947,0.06270284650172919
Italian,201,Qwen 3.5,zero,0.5763259087281433,0.7109411565540386,0.1346152478258953
German,191,GPT-4.1-mini,five,0.4727545309301669,0.545867938256529,0.07311340732636212
German,191,GPT-4.1-mini,zero,0.5164436964948474,0.5583433683577661,0.04189967186291865
German,191,GPT-4o-mini,five,0.5663835794044864,0.5720487659827534,0.00566518657826709
German,191,GPT-4o-mini,zero,0.549908229513911,0.5884101798447325,0.03850195033082149
German,191,Gemma 4,five,0.5511504601840737,0.5507161707978483,-0.0004342893862253616
German,191,Gemma 4,zero,0.5682823459150101,0.6304731411146506,0.062190795199640436
German,191,Qwen 3.5,five,0.42221337658162555,0.47094562281110103,0.04873224622947547
German,191,Qwen 3.5,zero,0.4051109783534897,0.48340858262246167,0.07829760426897198
Swedish,97,GPT-4.1-mini,five,0.4382863298834212,0.572651733366019,0.13436540348259784
Swedish,97,GPT-4.1-mini,zero,0.43666666666666665,0.5562242969476948,0.11955763028102817
Swedish,97,GPT-4o-mini,five,0.6018531176425913,0.5857875457875458,-0.016065571855045535
Swedish,97,GPT-4o-mini,zero,0.541810570381999,0.5329349458020027,-0.008875624579996244
Swedish,97,Gemma 4,five,0.4823414472171847,0.5847337158655348,0.1023922686483501
Swedish,97,Gemma 4,zero,0.5109443777511005,0.6069585906651819,0.09601421291408141
Swedish,97,Qwen 3.5,five,0.3905445616370217,0.4460670194003527,0.05552245776333098
Swedish,97,Qwen 3.5,zero,0.453105058207099,0.4857223489095789,0.03261729070247987
Norwegian,83,GPT-4.1-mini,five,0.445242631358817,0.5128523458185535,0.06760971445973657
Norwegian,83,GPT-4.1-mini,zero,0.4622972265829408,0.47501625358768207,0.012719027004741257
Norwegian,83,GPT-4o-mini,five,0.47531392003441697,0.45110105316959664,-0.024212866864820326
Norwegian,83,GPT-4o-mini,zero,0.4251351822780394,0.42944527404457716,0.004310091766537738
Norwegian,83,Gemma 4,five,0.4759568197691273,0.48090005232862376,0.004943232559496469
Norwegian,83,Gemma 4,zero,0.49109275198739294,0.544951425386208,0.05385867339881506
Norwegian,83,Qwen 3.5,five,0.513588342448017,0.4554432029221945,-0.05814513952582251
Norwegian,83,Qwen 3.5,zero,0.49962869996483444,0.488263806586788,-0.01136489337804647
French,83,GPT-4.1-mini,five,0.5574870838028733,0.5033056927423124,-0.05418139106056086
French,83,GPT-4.1-mini,zero,0.5772871572871574,0.5213431013431014,-0.05594405594405605
French,83,GPT-4o-mini,five,0.5677710161691855,0.47262380454231046,-0.095147211626875
French,83,GPT-4o-mini,zero,0.4518574552906275,0.6022694792202595,0.15041202392963204
French,83,Gemma 4,five,0.49900892758035614,0.5036921263336358,0.00468319875327966
French,83,Gemma 4,zero,0.49098902451131876,0.551984126984127,0.06099510247280826
French,83,Qwen 3.5,five,0.5641116626830912,0.547852210240969,-0.016259452442122235
French,83,Qwen 3.5,zero,0.5153428025608476,0.4541917162121766,-0.06115108634867106
Dutch,56,GPT-4.1-mini,five,0.5553595527279738,0.5634535685619276,0.00809401583395386
Dutch,56,GPT-4.1-mini,zero,0.5403628117913832,0.6423565652676164,0.10199375347623318
Dutch,56,GPT-4o-mini,five,0.4859434300035805,0.5313186813186813,0.04537525131510084
Dutch,56,GPT-4o-mini,zero,0.46491915606822437,0.46857061665245814,0.0036514605842337677
Dutch,56,Gemma 4,five,0.60772619815173,0.5094370124445312,-0.0982891857071988
Dutch,56,Gemma 4,zero,0.5738721804511278,0.6511554527344001,0.07728327228327236
Dutch,56,Qwen 3.5,five,0.5275977057489663,0.4909179395028452,-0.03667976624612107
Dutch,56,Qwen 3.5,zero,0.4078798185941043,0.5685260770975057,0.16064625850340136
