language,n,model,shot,native_macro_f1,translated_macro_f1,delta_translated_minus_native
Portuguese,420,GPT-4.1-mini,five,0.36642085437512145,0.3716776137545215,0.005256759379400067
Portuguese,420,GPT-4.1-mini,zero,0.3890793343872057,0.38686320951757996,-0.0022161248696257463
Portuguese,420,GPT-4o-mini,five,0.4702107356587775,0.432058815210344,-0.03815192044843352
Portuguese,420,GPT-4o-mini,zero,0.41940462020249253,0.4342448621747763,0.014840241972283785
Portuguese,420,Gemma 4,five,0.343665098551552,0.3657279638662035,0.022062865314651514
Portuguese,420,Gemma 4,zero,0.4079149946289906,0.39776486077884105,-0.010150133850149567
Portuguese,420,Qwen 3.5,five,0.2606002862766148,0.2787142479286853,0.01811396165207052
Portuguese,420,Qwen 3.5,zero,0.34793754992076886,0.33097174011798897,-0.016965809802779896
Finnish,363,GPT-4.1-mini,five,0.23626786279419715,0.33245331892906377,0.09618545613486662
Finnish,363,GPT-4.1-mini,zero,0.28753911194617193,0.46849994000555384,0.1809608280593819
Finnish,363,GPT-4o-mini,five,0.302705578987851,0.2788744189941795,-0.023831159993671525
Finnish,363,GPT-4o-mini,zero,0.35324044629820667,0.40560701166260676,0.0523665653644001
Finnish,363,Gemma 4,five,0.2477524835653795,0.26977219790947193,0.022019714344092445
Finnish,363,Gemma 4,zero,0.35877763510520955,0.33444015754360584,-0.024337477561603704
Finnish,363,Qwen 3.5,five,0.24011707365316706,0.2272468011503761,-0.012870272502790964
Finnish,363,Qwen 3.5,zero,0.24978614962705684,0.2615930585586162,0.011806908931559362
Italian,201,GPT-4.1-mini,five,0.44964950794334685,0.5072788409237007,0.05762933298035383
Italian,201,GPT-4.1-mini,zero,0.36605924819517055,0.4767206969041831,0.11066144870901257
Italian,201,GPT-4o-mini,five,0.39362439362439366,0.4402574822616631,0.04663308863726945
Italian,201,GPT-4o-mini,zero,0.4300031418675487,0.44868464868464875,0.01868150681710007
Italian,201,Gemma 4,five,0.2602011341485026,0.25834692922772945,-0.0018542049207731504
Italian,201,Gemma 4,zero,0.41772226225745324,0.4474384218522876,0.029716159594834368
Italian,201,Qwen 3.5,five,0.3237753882915173,0.32019199438554274,-0.0035833939059745634
