model,text,setting,task_a_macro_f1,task_b_macro_f1,task_b1_macro_f1,invalid_rows_percent
Majority,all,Stratified 5-fold CV,0.0686061658706035,0.0852599224909795,0.1492048643592142,
Keyword rules,translated,rule-based,0.5624412967499822,0.3093047029903514,0.3557782768626183,
TF-IDF + LR,translated,Stratified 5-fold CV,0.6707296725372732,0.4745431655995178,0.5482410332589983,
TF-IDF + LR,native,Stratified 5-fold CV,0.5211245892548514,0.3942554254961753,0.4751518192706492,
Multilingual embeddings + LR,translated,Stratified 5-fold CV,0.6567203035987922,0.5038088513041642,0.5923142214645931,
Multilingual embeddings + LR,native,Stratified 5-fold CV,0.6492462488324461,0.4952518574804352,0.5748476814303047,
Gemma 4,native,zero-shot,0.6325248704384884,0.3457778143074895,0.5516818571517146,0.0
Gemma 4,translated,zero-shot,0.6579978050153413,0.3524100632856954,0.56326557326538,0.0
Gemma 4,native,five-shot,0.5656122092211808,0.2916582799171913,0.4973682204179281,19.8
Gemma 4,translated,five-shot,0.6238806222706328,0.3307327072615766,0.5528738875173463,12.266666666666666
GPT-4.1-mini,native,zero-shot,0.616371782988839,0.3277297190111504,0.4905761085217106,0.0666666666666666
GPT-4.1-mini,translated,zero-shot,0.6384558831760566,0.3593772428878546,0.4937799991172606,0.0
GPT-4.1-mini,native,five-shot,0.596465104270533,0.3152437117607481,0.4628323432274681,0.0
GPT-4.1-mini,translated,five-shot,0.616993144880906,0.3246376613739609,0.4656021090758048,0.0
GPT-4o-mini,native,zero-shot,0.6005394842722885,0.3838837227948538,0.6226449580453778,0.0
GPT-4o-mini,translated,zero-shot,0.6198710184921062,0.3919325016212218,0.6455959825158696,0.0
GPT-4o-mini,native,five-shot,0.6054086775788244,0.3722230810390902,0.6497774054605304,0.0
GPT-4o-mini,translated,five-shot,0.6236860668782225,0.3807609496197394,0.6600514802235253,0.0
Qwen 3.5,native,zero-shot,0.5582025662072589,0.2773513912040135,0.4614537677396765,0.5333333333333333
Qwen 3.5,translated,zero-shot,0.567139666216992,0.2774336218175001,0.4715925006835273,0.1333333333333333
Qwen 3.5,native,five-shot,0.5728054956771116,0.2418903363731296,0.4302408095920335,1.2
Qwen 3.5,translated,five-shot,0.583823326130755,0.2693590698527757,0.4408763527262986,0.1333333333333333
